tweet_id,author_id,created_at,lang,text
1537052995686375425,210634559,2022-06-15 12:42:45+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/UgFBwZQomf - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/chasnbkZzd) atau Eril (https://t.co/UeQtEwxFaz), putra dari Ridwan Kamil (https://t.co/ctotd2aK76) disemayamkan."
1537052981673218048,212308039,2022-06-15 12:42:42+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/z1xf0iatRb - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/XZn4vKM0w2) atau Eril (https://t.co/5TJyTNcvzf), putra dari Ridwan Kamil (https://t.co/GevY7CGyUj) disemayamkan."
1537052966783434755,213799922,2022-06-15 12:42:39+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/CjaGbxnxAg - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/ZlEqDGzfrO) atau Eril (https://t.co/Yzhx1eFnEJ), putra dari Ridwan Kamil (https://t.co/LNAtcA2sHK) disemayamkan."
1537052951344295936,215470520,2022-06-15 12:42:35+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/tkW4RxLdMs - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/8ERXtxox4Y) atau Eril (https://t.co/wt5Fk1tpQi), putra dari Ridwan Kamil (https://t.co/X1HrTxXc26) disemayamkan."
1537052934860685313,220788211,2022-06-15 12:42:31+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/1qg6cEUfLg - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/QveOmn1Tnj) atau Eril (https://t.co/FsIMejaOg8), putra dari Ridwan Kamil (https://t.co/2xXEcUGhX7) disemayamkan."
1537052919127760896,162921683,2022-06-15 12:42:27+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia https://t.co/BP8qQxDjqC - Gubernur Jawa Tengah Ganjar Pranowo bertakziah ke Gedung Pakuan, Kota Bandung, tempat jenazah Emmeril Kahn Mumtadz (https://t.co/HSS0YYQ636) atau Eril (https://t.co/nv0YacEqbX), putra dari Ridwan Kamil (https://t.co/MkN8b1DpJQ) disemayamkan."
1537048795699204099,1472129121396219906,2022-06-15 12:26:04+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/etXv21vSk4) atau Eril (https://t.co/U9aFssLwYW), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048789705539586,1460087364609462275,2022-06-15 12:26:03+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/a99DVBuhha) atau Eril (https://t.co/G68qGepS7S), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048725478064130,1462624868369715205,2022-06-15 12:25:47+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/8R83QIvEex) atau Eril (https://t.co/TVNfEzKAZK), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
1537048672852234240,227758610,2022-06-15 12:25:35+00:00,in,"@ganjarpranowo @GanjarKu_ @ganjar_pedia Orang nomor satu Jateng ini datang untuk bertakziah atas wafatnya Emmeril Kahn Mumtadz (https://t.co/4FBxmSKUUl) atau Eril (https://t.co/ycZf8AqkNz), putra Gubernur Jabar Ridwan Kamil yang sebelumnya tiba di Gedung Pakuan, Bandung, Minggu (12/6/2022)."
